"ExtensionProperty","DeletionTimestamp","ObjectId","ObjectType","AccountEnabled","AgeGroup","AssignedLicenses","AssignedPlans","City","CompanyName","ConsentProvidedForMinor","Country","CreationType","Department","DirSyncEnabled","DisplayName","FacsimileTelephoneNumber","GivenName","IsCompromised","ImmutableId","JobTitle","LastDirSyncTime","LegalAgeGroupClassification","Mail","MailNickName","Mobile","OnPremisesSecurityIdentifier","OtherMails","PasswordPolicies","PasswordProfile","PhysicalDeliveryOfficeName","PostalCode","PreferredLanguage","ProvisionedPlans","ProvisioningErrors","ProxyAddresses","RefreshTokensValidFromDateTime","ShowInAddressList","SignInNames","SipProxyAddress","State","StreetAddress","Surname","TelephoneNumber","UsageLocation","UserPrincipalName","UserState","UserStateChangedOn","UserType"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"7fb96511-1484-4c15-a44b-a575891fdbd3","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,"United States",,,,"Agent 3",,"Agent",,,"Agent",,,,"agent3",,,"System.Collections.Generic.List`1[System.String]","None",,,,"en-US","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/29/2015 3:37:39 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"3",,"US","agent3@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"7e8e54c6-b9b0-47a2-9013-87d5e5aa5068","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,"United States",,,,"Agent 4",,"Agent",,,"Agent",,,,"agent4",,,"System.Collections.Generic.List`1[System.String]","None",,,,"en-US","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/29/2015 3:37:40 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"4",,"US","agent4@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"3b056f6a-663f-4fb0-b9ab-bec234ebe2ff","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,"United States",,,,"Agent 5",,"Agent",,,"Agent",,,,"agent5",,,"System.Collections.Generic.List`1[System.String]","None",,,,"en-US","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/29/2015 3:37:41 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"5",,"US","agent5@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"6387f3e1-615f-4ae6-9d34-093b36d0fb6d","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,"United States",,,,"Agent 6",,"Agent",,,"Agent",,,,"agent6",,,"System.Collections.Generic.List`1[System.String]","None",,,,"en-US","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/29/2015 3:37:41 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"6",,"US","agent6@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"329db898-db73-477c-af30-0e4a2855308c","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,"United States",,,,"Agent 7",,"Agent",,,"Agent",,,,"agent7",,,"System.Collections.Generic.List`1[System.String]","None",,,,"en-US","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/29/2015 3:37:42 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"7",,"US","agent7@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"952a7cca-9a9d-4d20-9262-378d6cfbecde","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,"United States",,,,"Agent 8",,"Agent",,,"Agent",,,,"agent8",,,"System.Collections.Generic.List`1[System.String]","None",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/29/2015 3:37:43 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"8",,"US","agent8@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"98088346-ff9a-480c-b2dd-b18428f2ce5f","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Agent 9",,,,,,,,,"agent9",,,"System.Collections.Generic.List`1[System.String]","None",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","12/20/2017 5:09:51 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,"US","agent9@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"cd9704e5-2929-4b2c-9d1a-868c8d33fd9e","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,"Invitation",,,"agentannelong@gmail.com",,,,,,,,"agentannelong@gmail.com","agentannelong_gmail.com#EXT#",,,"System.Collections.Generic.List`1[System.String]",,,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","7/26/2021 1:43:23 PM","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"agentannelong_gmail.com#EXT#@ColdwellBank.onmicrosoft.com","PendingAcceptance","2021-07-26T13:43:23Z","Guest"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"cd233c58-6914-4109-8819-b2e5512811c6","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Amanda Haynes",,"Amanda",,"1o2SG1F2aUyr1mv9nrHgRQ==",,,,"AHaynes@cbww.com","ahaynes",,,"System.Collections.Generic.List`1[System.String]","None",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","12/8/2015 1:32:33 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"Haynes",,"US","ahaynes@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"ddd244c6-4647-4218-ac65-de2943364e6f","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Amberlee Klugman",,"Amberlee",,"FR2nnIWIw0izWLlQzZy+gg==",,,,"aklugman@cbww.com","aklugman",,,"System.Collections.Generic.List`1[System.String]","DisablePasswordExpiration",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","12/16/2021 7:54:21 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]","ddd244c646474218ac65de2943364e6faklugman@cbww.com",,,"Klugman",,"US","aklugman@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"b0df771d-bbab-4586-924f-327e0709dc4e","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Angel Locascio",,"Angel",,"SdTTIMf+sEm1KNuguvyz6g==",,,,"alocascio@cbww.com","alocascio",,,"System.Collections.Generic.List`1[System.String]","None",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","5/13/2019 4:17:54 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]","b0df771dbbab4586924f327e0709dc4ealocascio@cbww.com",,,"Locascio",,"US","alocascio@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"aa06e18e-2c68-49d6-badc-ba81c4ff9dce","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Andrew McGranaghan",,"Andrew",,"CWSS3juQYUmx6NBLvLSB7A==",,,,"andrew@cbww.com","andrew",,,"System.Collections.Generic.List`1[System.String]","DisablePasswordExpiration",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","3/17/2023 12:52:46 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]","andrew@cbww.com",,,"McGranaghan",,"US","andrew@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"e26329de-6ca2-48d3-9697-abb12a1ebbcc","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,"Invitation",,,"annasmith2818@gmail.com",,,,,,,,"annasmith2818@gmail.com","annasmith2818_gmail.com#EXT#",,,"System.Collections.Generic.List`1[System.String]",,,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","7/26/2021 1:43:19 PM","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"annasmith2818_gmail.com#EXT#@ColdwellBank.onmicrosoft.com","PendingAcceptance","2021-07-26T13:43:19Z","Guest"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"d854721b-e0bf-4a1e-9090-f9476ec939e1","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,"Invitation",,,"anne.williams@coldwellbanker.com",,,,,,,,"anne.williams@coldwellbanker.com","Guest_d854721be0bf4a1e9090f9476ec939e1",,,"System.Collections.Generic.List`1[System.String]",,,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","2/20/2021 12:12:28 PM","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"anne.williams_coldwellbanker.com#EXT#@ColdwellBank.onmicrosoft.com","PendingAcceptance","2021-02-20T12:12:28Z","Guest"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"92a3b1c7-73e2-463a-823a-980153d66e2a","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,"Invitation",,,"anniejturner2017@gmail.com",,,,,,,,"anniejturner2017@gmail.com","Guest_92a3b1c773e2463a823a980153d66e2a",,,"System.Collections.Generic.List`1[System.String]",,,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","2/20/2021 12:12:18 PM","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"anniejturner2017_gmail.com#EXT#@ColdwellBank.onmicrosoft.com","PendingAcceptance","2021-02-20T12:12:18Z","Guest"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"a66c5a06-a8b5-4067-93e9-ed3a6777e27e","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,"Invitation",,,"april.shaffer@coldwellbanker.com",,,,,,,,"april.shaffer@coldwellbanker.com","april.shaffer_coldwellbanker.com#EXT#",,,"System.Collections.Generic.List`1[System.String]",,,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","7/26/2021 1:43:16 PM","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"april.shaffer_coldwellbanker.com#EXT#@ColdwellBank.onmicrosoft.com","PendingAcceptance","2021-07-26T13:43:16Z","Guest"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"eeea15a8-2d4e-4a49-9d94-7df8e29d6844","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Alysa Reeves",,"Alysa",,"oWKPjG5JiUeU/4eLvEK5eA==",,,,"areeves@cbww.com","areeves",,,"System.Collections.Generic.List`1[System.String]","DisablePasswordExpiration",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","6/3/2022 12:56:27 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]","areeves@cbww.com",,,"Reeves",,"US","areeves@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"c674f6e0-e3f7-4cc2-b632-b68bf592ee1a","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Alexis Rice",,"Alexis",,"kmz2wMxVc0OAzqxd1OTPBw==",,,,"arice@cbww.com","arice",,,"System.Collections.Generic.List`1[System.String]","DisablePasswordExpiration",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/5/2021 1:20:26 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]","c674f6e0e3f74cc2b632b68bf592ee1aarice@cbww.com",,,"Rice",,"US","arice@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"fd71f1fc-a9e0-49cf-85d9-a9232373530d","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,"Invitation",,,"aseibel@harperpropertymanagement.com",,,,,,,,"aseibel@harperpropertymanagement.com","Guest_fd71f1fca9e049cf85d9a9232373530d",,,"System.Collections.Generic.List`1[System.String]",,,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","1/27/2021 9:15:04 PM","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"aseibel_harperpropertymanagement.com#EXT#@ColdwellBank.onmicrosoft.com","PendingAcceptance","2021-01-27T21:15:04Z","Guest"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"ea382897-3f2f-457b-9fe4-de90070d2973","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Alex Shelton",,"Alex",,"Ae4imZxmuEGmb0P0d3+AfQ==",,,,"ashelton@cbww.com","ashelton",,,"System.Collections.Generic.List`1[System.String]","DisablePasswordExpiration",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","3/30/2020 1:01:52 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]","ashelton@cbww.com",,,"Shelton",,"US","ashelton@cbww.com",,,"Member"
